dataset,map4,morgan,ap
COX-2,0.4284619601181122,0.5512231741274949,0.5848993661806102
COX-2,0.42668858807054255,0.5454292893023978,0.5584081029048117
COX-2,0.43509547547966343,0.533142548991532,0.5634039193471192
COX-2,0.4016356467853509,0.5214760816079858,0.5284516381503199
COX-2,0.4401264039182521,0.562847941451238,0.5857056618187095
Glucocorticoid,0.48860459974731696,0.6065750532753709,0.6225927157470823
Glucocorticoid,0.5241139908404475,0.6453161415776755,0.6615488712043358
Glucocorticoid,0.4799764540649586,0.6218121398113766,0.6406614404805617
Glucocorticoid,0.48665770387597607,0.595380078133439,0.6010212571589332
Glucocorticoid,0.5380553698208244,0.6339655936983676,0.6609746690007567
opioid,0.5888866129831645,0.6872390920404247,0.6989321197787828
opioid,0.5916490041483469,0.6948666933097702,0.6833791966422655
opioid,0.5470550329179564,0.695498460810943,0.6865020448077028
opioid,0.4950708849804476,0.6301573597916172,0.6005929960038408
opioid,0.5546456010113663,0.6499693084577329,0.6752083042842955
COX-1,0.3102356879172764,0.3552648379466853,0.37803575885421614
COX-1,0.2441833512231001,0.36871064410892007,0.39767132271266326
COX-1,0.2379951443467747,0.33574538297765866,0.34134977172979897
COX-1,0.3020180078319731,0.37771979127388433,0.3861635465705707
COX-1,0.22255379331119118,0.33518420040083297,0.3043008015778438
Carbonic,0.6135375187224229,0.7154492428141842,0.723222012742531
Carbonic,0.609988495853335,0.7432456231991633,0.7683685984539186
Carbonic,0.6951402464349121,0.7992486008377631,0.8317416137311787
Carbonic,0.5659789378744156,0.6972641456515478,0.7141364540766422
Carbonic,0.6428764583896218,0.7838279506579859,0.7929155381608756
Vanilloid,0.33168103044830743,0.45177797902279526,0.44910356123746265
Vanilloid,0.3684672015301128,0.4413232100453839,0.44861422314132693
Vanilloid,0.34263103413933205,0.41089328159536476,0.4657434261923781
Vanilloid,0.35578006059724687,0.44081228311215404,0.4428581031119293
Vanilloid,0.3441998079449683,0.44464515966493956,0.4987733621500121
JAK2,0.4986028192391032,0.6644092827751511,0.6581990625863029
JAK2,0.48303536534707037,0.6481467113093323,0.6340477072570709
JAK2,0.4998463719728137,0.6456061576435687,0.6532457136139646
JAK2,0.5147200656222694,0.6570440059212417,0.6743037416598039
JAK2,0.494033172795067,0.6553500464198997,0.6477838031434648
Acetylcholinesterase,0.5324485410583277,0.675934566119633,0.6903033990595766
Acetylcholinesterase,0.4949928306194714,0.6427682355181279,0.6671474229327281
Acetylcholinesterase,0.5352031598144243,0.6747457835462449,0.6772523220157869
Acetylcholinesterase,0.5324299794692553,0.6747970222861354,0.6763784624688682
Acetylcholinesterase,0.5243851946627258,0.6563000251424649,0.6847416595049166
Coagulation,0.45682346656148,0.5846077384796535,0.6036894363757013
Coagulation,0.4665982103719354,0.5907928576367011,0.601502664014408
Coagulation,0.5012979270878773,0.6193809489645558,0.6360136249726497
Coagulation,0.47623666259531827,0.5669221169691804,0.5690748804901034
Coagulation,0.4586004444524876,0.5631048388790566,0.5746161453086553
Glycogen,0.41633860141426127,0.5540716297367927,0.5720180588363732
Glycogen,0.41277828722664556,0.5697052078927175,0.5934301798573088
Glycogen,0.454992184669337,0.569559774040189,0.5918622327015073
Glycogen,0.4205833704132633,0.5518408660744508,0.5529478551731103
Glycogen,0.4279398576985144,0.5832551163409532,0.5664211962407855
erbB1,0.549040101080206,0.6823733544557904,0.6682923435388439
erbB1,0.5482243068318295,0.6894727236837874,0.6749768404543675
erbB1,0.5616462257115815,0.6859054624704514,0.6767578408946993
erbB1,0.5725346141644071,0.7119156762713689,0.6958805840693381
erbB1,0.5425330806449578,0.6990174456351219,0.6804846143710772
Ephrin,0.4120545400045279,0.5762442911056168,0.550805846910398
Ephrin,0.4449530180793405,0.579178922361292,0.5810965847201953
Ephrin,0.4693355008165421,0.596410601800078,0.6053873979047758
Ephrin,0.4334430768186619,0.5956773051659596,0.5876733037240673
Ephrin,0.44802569060478603,0.5899742377987134,0.5757082694092714
ABL1,0.49568725989885143,0.6528065681118678,0.6731311307303607
ABL1,0.5050837942539395,0.6088192521548697,0.6257344695847573
ABL1,0.4244735464818147,0.5663389582630484,0.5845658424061642
ABL1,0.5093578026604035,0.6478064868957252,0.6165577248528573
ABL1,0.5241385810946921,0.6368000525281308,0.6181054971343952
Monoamine,0.45264886982686847,0.6232156004971572,0.6275528871543616
Monoamine,0.4566425885719141,0.5914143210230263,0.6110346372366908
Monoamine,0.46396762421037363,0.5590164864306619,0.6038503841006619
Monoamine,0.4590788509302377,0.5957307314755338,0.6273059078541123
Monoamine,0.4183293681294892,0.5416007556754378,0.5760923807453353
LCK,0.5010156706471185,0.6142997701527018,0.5814207987806584
LCK,0.49247152389802706,0.6284750864003215,0.5830619131366832
LCK,0.515515270064834,0.6090790425862082,0.5961425875382709
LCK,0.45273872472689125,0.5312201928652948,0.5418804793347649
LCK,0.4919593685985829,0.5887358378499513,0.5927159274509735
Estrogen,0.593428961248152,0.715201019391964,0.7289886341768328
Estrogen,0.5861542396992416,0.7120535170377875,0.7489038837430929
Estrogen,0.6038712333832668,0.7477532734615371,0.7626565801919825
Estrogen,0.6021100489209322,0.7182833192787413,0.7587055446271422
Estrogen,0.5883304122995081,0.7164758606232736,0.7535175391555827
B-raf,0.6024802735874863,0.7148696147369596,0.7120714993822757
B-raf,0.6592992917807705,0.7446542309359037,0.746094358314816
B-raf,0.6365572822628869,0.7237213097163072,0.7557429363235025
B-raf,0.608688787457324,0.7007362208046934,0.7151935688602108
B-raf,0.615199739051262,0.6940392088190414,0.6647848387450379
Cannabinoid,0.5094430087834443,0.6596726250388312,0.6425058008533513
Cannabinoid,0.5698333705794938,0.6527358789428821,0.6904396307833831
Cannabinoid,0.5338156499106784,0.6740953078722971,0.6778471251250286
Cannabinoid,0.5034437467971024,0.6349862293590594,0.628155300566955
Cannabinoid,0.5299833114316281,0.6702400744057009,0.6736173572387096
Aurora-A,0.5369013503753317,0.656276295172798,0.6366543153733846
Aurora-A,0.5315449565294941,0.6467297520673977,0.6521229660667092
Aurora-A,0.5429592231216309,0.6342508252629713,0.6463087339183111
Aurora-A,0.5551643628649698,0.6690552240491078,0.6672364806151729
Aurora-A,0.5536563257140614,0.6554314259904758,0.6556695624955553
A2a,0.5510250715005123,0.5939931918140013,0.6026323644034075
A2a,0.652371647230664,0.6990459291063358,0.7305282700013125
A2a,0.41408479055150516,0.49921938199487736,0.4630448837888761
A2a,0.714431490641668,0.7541407593196429,0.773588423211171
A2a,0.7391872556645391,0.8111884870498696,0.7669532080662109
HERG,0.38256366748507387,0.5679326495561099,0.5965680513126362
