dataset,map4,morgan,ap
COX-2,0.461461835918925,0.5481345630090231,0.57043708344219
COX-2,0.47253466201999283,0.5356861616298965,0.5556908946027379
COX-2,0.4213995090432481,0.5058488283711271,0.5331528927279376
COX-2,0.48623813758289947,0.5805422646578662,0.5987114360484234
COX-2,0.4750749959510451,0.5583156245812189,0.5838019869321825
Glucocorticoid,0.5420384139128511,0.6698277690593009,0.6650679184401265
Glucocorticoid,0.47708638827115935,0.5574543586679129,0.6008254422468897
Glucocorticoid,0.5247670381047872,0.6115764061621161,0.6473884005934987
Glucocorticoid,0.5112678090175861,0.6004095116138988,0.6173875153999573
Glucocorticoid,0.5084706110876693,0.6231274872151653,0.6327047763941007
opioid,0.5897925272091391,0.6813342586941307,0.663806492437176
opioid,0.5784982198207962,0.6269287997955999,0.6469663020123546
opioid,0.5965325784693,0.692663291421888,0.6830117405259706
opioid,0.5362722047528834,0.6038629600439107,0.5969171791938543
opioid,0.5842746366054464,0.7035456242525865,0.7087462087135433
COX-1,0.23565304313281688,0.3401862708902128,0.3314116849038967
COX-1,0.27244227377954267,0.3621513785383673,0.4172632090889392
COX-1,0.2527410246766305,0.35784072628867103,0.3636518882870301
COX-1,0.32484475833099435,0.39533512942413607,0.4364468428879018
COX-1,0.2948060319509058,0.3884410400257068,0.43472705651843024
Carbonic,0.6457511864760973,0.7404115778219315,0.7500758695617127
Carbonic,0.6468650724437306,0.758801537118395,0.7751249813681148
Carbonic,0.6298367381475104,0.7663625953854649,0.762741828838499
Carbonic,0.6751305604564772,0.7730276651370378,0.7950668124976492
Carbonic,0.6953367601962082,0.7989677338630363,0.7908748193857207
Vanilloid,0.39267506203347347,0.4391774701401395,0.47381040068582714
Vanilloid,0.3694537889960575,0.4158883689576375,0.4548077994892362
Vanilloid,0.3514409732252367,0.4404002874346383,0.45226630181991256
Vanilloid,0.37662079884383204,0.4529969062587005,0.4632164820939708
Vanilloid,0.380073490212932,0.4469034754794332,0.45203075168918616
JAK2,0.5232684540690121,0.6550456647453711,0.633110514396404
JAK2,0.523106708838081,0.6478157487573626,0.6269885201048786
JAK2,0.5349277983469827,0.6580413279052673,0.6406116084083453
JAK2,0.4914957196288151,0.6383828201176469,0.6250418531351785
JAK2,0.49723358056180955,0.6335988045574112,0.6316585634843812
Acetylcholinesterase,0.5548286763512527,0.6852585566954408,0.69816019669798
Acetylcholinesterase,0.533877378993406,0.7093653667534993,0.6933123759430195
Acetylcholinesterase,0.5276327993262137,0.6466358990390889,0.6438117353569719
Acetylcholinesterase,0.5667018269646572,0.6916808827626086,0.6980858188140371
Acetylcholinesterase,0.5541916834783254,0.6701927480989618,0.6883778581649509
Coagulation,0.47546886527687426,0.5926863261569504,0.5942318195659639
Coagulation,0.49393866300087186,0.5940586832578431,0.6160870370254772
Coagulation,0.45820626830582156,0.5828959687630382,0.5843516773517456
Coagulation,0.4750193457499108,0.5782071923014425,0.5682701013650817
Coagulation,0.4921875992767418,0.5791698059038866,0.594675009161861
Glycogen,0.4482029321993194,0.5464539764928675,0.553916810817466
Glycogen,0.42598163265448163,0.5185154810785927,0.5346533209018914
Glycogen,0.48344551102116873,0.5711291245659866,0.5855779564715116
Glycogen,0.4659556884759145,0.578949945892965,0.5818922137349056
Glycogen,0.44932023164427415,0.6031353393676501,0.5986632908455777
erbB1,0.5906379756049861,0.7100647040250816,0.7007239338954496
erbB1,0.5920928801754515,0.693779780709584,0.6742856260686462
erbB1,0.5997055576566727,0.720157038977201,0.6964478929981136
erbB1,0.5952823169355288,0.7091570043743347,0.6937177716391549
erbB1,0.6082590246551896,0.7037690765385518,0.6979824723758898
Ephrin,0.45886558490629104,0.5952483368634847,0.5949555717678334
Ephrin,0.4175215804759458,0.5612869648872555,0.5478112016450469
Ephrin,0.46439545472060617,0.5760758186770043,0.5907880461664999
Ephrin,0.440821084432653,0.56455503432068,0.5619572322701665
Ephrin,0.4857058956604602,0.6015266645559898,0.5952165633296893
ABL1,0.4999510882398467,0.5828797783403101,0.5875592148324538
ABL1,0.4600887467306056,0.5580940276596562,0.5500784390303308
ABL1,0.48166150726397516,0.5637488910580974,0.5800944352043229
ABL1,0.527852932021516,0.6424189603369386,0.6231294193863881
ABL1,0.49903209860187947,0.663002278162611,0.6697848829872515
Monoamine,0.4832587989388083,0.5899245534645651,0.5912662073466337
Monoamine,0.42759293236504103,0.5546678244093253,0.537041308244772
Monoamine,0.45627896258612255,0.573292488039939,0.5823852528654321
Monoamine,0.48486984497164975,0.6228887687252092,0.6679352512523107
Monoamine,0.4795031589167795,0.5843689931578772,0.6176019893602233
LCK,0.5000046468762178,0.609797311522251,0.6202940519736261
LCK,0.5282171496967378,0.6213665483210971,0.5998735537410356
LCK,0.49189953103715234,0.6109551241631204,0.5833993310761318
LCK,0.5333613291178936,0.6472425795154736,0.6537664146723681
LCK,0.4992441026579949,0.5972648170859872,0.5757574974858795
Estrogen,0.6322722163979222,0.7622944486992855,0.7773112895458261
Estrogen,0.6425903471205996,0.7362938856794319,0.7631172833159113
Estrogen,0.589511733504382,0.7517591982411254,0.7414989940691
Estrogen,0.6051911650885848,0.7205358906833226,0.752962452766127
Estrogen,0.6256567530201145,0.7419782203395153,0.769039979712989
B-raf,0.6268155832748264,0.6987352764793018,0.6973628748505809
B-raf,0.6625025420065926,0.7365824412503625,0.7426905366727773
B-raf,0.6838054774253856,0.7467545343783092,0.7446746037934645
B-raf,0.6308593559454407,0.6972604947938353,0.7052987403543058
B-raf,0.6822698617841744,0.7224679955689048,0.7479422596853588
Cannabinoid,0.5703975190844572,0.69688254202554,0.709782427993314
Cannabinoid,0.5971558409927797,0.6575148114632714,0.6706399743819103
Cannabinoid,0.5706797995424597,0.6440140822354476,0.6523623641989555
Cannabinoid,0.5954290526678055,0.6474475963035553,0.6566984292788213
Cannabinoid,0.581388061934945,0.6736994324097022,0.694061560295292
Aurora-A,0.5963101097261184,0.6768881716681061,0.7052997473071485
Aurora-A,0.5763189035648287,0.6721288498631752,0.6569313966360625
Aurora-A,0.5704670251114632,0.6303654457471721,0.6499877747449341
Aurora-A,0.5999037137982844,0.7027008107165877,0.6996451942912871
Aurora-A,0.5536612284257904,0.6441114315451086,0.646583239190599
A2a,0.3093260785778429,0.43205781937047694,0.42613943743138305
A2a,0.5513138966108493,0.642536117566582,0.6563629614083575
A2a,0.6262499176727019,0.6970786873625066,0.7216444065095926
A2a,0.5459199934209071,0.6802781456387206,0.6918448238778074
A2a,0.5333426247883133,0.49038885156797674,0.5528463376107082
HERG,0.37835522938546595,0.5138401106465821,0.5234182415512572
HERG,0.3471272835241278,0.5283723097992998,0.5341865440611222
HERG,0.35672704876667305,0.5061040551587608,0.5350647133880205
HERG,0.3527206770611163,0.5068549520340389,0.544808721932486
HERG,0.41564398400297486,0.5666815654819586,0.5793717553511021
Caspase,0.7598879132498623,0.8143043138007584,0.811914667893172
Caspase,0.7501298895612784,0.8195886546096233,0.8164695404659816
Caspase,0.7717560005448952,0.843366243842934,0.8485476993495384
Caspase,0.7737608719313129,0.8512093827833679,0.856446153926241
Caspase,0.7988559873919581,0.856963689024014,0.8700138621155653
Dihydrofolate,0.447271035765189,0.4634889358647404,0.5416003248954119
Dihydrofolate,0.4347534461328071,0.4700069980143663,0.46788324247358615
Dihydrofolate,0.390689529449767,0.5081545532607733,0.5036918525801057
Dihydrofolate,0.4269082788117913,0.4854177501443012,0.4649279212850913
Dihydrofolate,0.5098374634966198,0.5716678208803583,0.5697090400449816
Dopamine,0.37237739315420315,0.4856650591747299,0.5302800030281067
Dopamine,0.4020755353232709,0.5263423847467662,0.561842856390598
Dopamine,0.4440250184444685,0.48339397689576347,0.523606201075167
Dopamine,0.43551342805753546,0.5594166754480452,0.5734342270229417
Dopamine,0.4699523163109127,0.5337616932458811,0.5447189396715376
