dataset,map4,morgan,ap
COX-2,0.4660551711211429,0.5188219188460602,0.5196401682632292
COX-2,0.5185183553255746,0.6019565576687322,0.6023275993456292
COX-2,0.5105539719769229,0.5788191781747261,0.6091141158159202
COX-2,0.5206956262210598,0.5674956761459855,0.5784131979665397
COX-2,0.4891810789144988,0.5310233598718157,0.5639508104405865
Glucocorticoid,0.5518773129929002,0.6490797620419207,0.6498395147010689
Glucocorticoid,0.5727638539266543,0.6044745631005439,0.6265111328402795
Glucocorticoid,0.5962548547333009,0.6909569977399399,0.6877383440323359
Glucocorticoid,0.5989237345060876,0.6570872987208387,0.6675982222083109
Glucocorticoid,0.5794768419761228,0.6646839087824415,0.6741874727847996
opioid,0.6280991988413,0.662424225755986,0.6750135066495605
opioid,0.6328384671548835,0.7229565499531412,0.7184555608892373
opioid,0.656469783346066,0.7049105495395125,0.7196806149149273
opioid,0.5802042431198202,0.6365684253430941,0.633985475871752
opioid,0.5882091435392299,0.6444590527315474,0.6510021304854756
COX-1,0.3110202156928228,0.3562495740688829,0.3547259739562144
COX-1,0.30337375112320863,0.41113784580725254,0.3922030917408523
COX-1,0.3447233903987523,0.4295053731736369,0.43751405171131186
COX-1,0.31616246959433847,0.3538336759581592,0.3759515251732318
COX-1,0.34126171048541953,0.4326966812663876,0.4616990422207091
Carbonic,0.7697245895387397,0.7815115175608556,0.8257666203710112
Carbonic,0.7387246724175222,0.7746530094867967,0.7931695389710844
Carbonic,0.7694783772885012,0.8199517462591969,0.8289183095039405
Carbonic,0.7605673885514366,0.7808054677083389,0.7967572116758393
Carbonic,0.791220912569548,0.8620464826249535,0.842127711449045
Vanilloid,0.4620382317581444,0.5253454692749392,0.5413319887794591
Vanilloid,0.42534514060775086,0.4676277983564979,0.49103443263810875
Vanilloid,0.3897385348389589,0.40636426169896434,0.44470928997444725
Vanilloid,0.4528280502681705,0.4911777873636711,0.5555440752362135
Vanilloid,0.4040960789917587,0.4441392857586248,0.4816483190975809
JAK2,0.593512338529235,0.7042983928146573,0.6896007446287982
JAK2,0.5854404444277815,0.6741910374071733,0.6860247554752599
JAK2,0.6001510606375409,0.7211440043861705,0.7025737435911252
JAK2,0.5863439966635838,0.6752300007791882,0.6698315071316194
JAK2,0.5941135572764173,0.6965706077059359,0.6928201238886522
Acetylcholinesterase,0.5988137261943905,0.6817265415516381,0.6938059834842684
Acetylcholinesterase,0.5860795271839504,0.6674524326793788,0.6949648213778972
Acetylcholinesterase,0.6013651720312203,0.6930272835157427,0.7023430196753992
Acetylcholinesterase,0.6121175527455762,0.6995376228072543,0.7182734716423309
Acetylcholinesterase,0.62568887473084,0.7152301549598801,0.7265072112979902
Coagulation,0.5005807985527886,0.5525882783563874,0.5665991997291526
Coagulation,0.5215790990043052,0.5913793235089145,0.6111670957965503
Coagulation,0.5129815607888804,0.5810927200041086,0.5908492314604331
Coagulation,0.5208246330821595,0.5787729143801159,0.587466752736282
