dataset,map4,morgan,ap
COX-2,0.5422889761656604,0.5814361978372713,0.5748057436290995
COX-2,0.532587189075989,0.5655526483748521,0.5749989045215673
COX-2,0.5328060648584549,0.560554778087496,0.5602837971720205
COX-2,0.5562479405751155,0.5842696578600832,0.5935028165901983
COX-2,0.5688150954287166,0.6310394448039349,0.640299282640591
Glucocorticoid,0.6138357156862304,0.6676264232228706,0.6641668612987477
Glucocorticoid,0.5957441034105406,0.6492311680246319,0.6694176633099969
Glucocorticoid,0.5573400164391442,0.6413077848329405,0.6675248945438806
Glucocorticoid,0.6056238823926097,0.6694684776081239,0.6942691552869302
Glucocorticoid,0.535948635026992,0.6149913150334503,0.5967006837503444
opioid,0.6757096130938758,0.7090730627449051,0.7362759291162162
opioid,0.6910175923341174,0.7341427169940714,0.7566090939738237
opioid,0.6711613165201824,0.7365143459727959,0.742686798874816
opioid,0.6258174435933559,0.695973246713544,0.6783508468195675
opioid,0.6919303773767989,0.7388323577079271,0.6848415260083555
COX-1,0.35917603352266203,0.4145634937634761,0.4156161772695227
COX-1,0.32827547433969684,0.3869414795040478,0.37335778680792475
COX-1,0.34936769348955266,0.42011976686812547,0.4348974546193758
COX-1,0.35032305088183147,0.4419974906069747,0.42788893977272424
COX-1,0.25760132726393226,0.3491282870065814,0.32505757752210906
Carbonic,0.7449931823330209,0.7358902011653387,0.7400880935759044
Carbonic,0.8132726874912535,0.8497944765261639,0.832243396038472
Carbonic,0.7568664274699328,0.7783685436917849,0.7993643489902934
Carbonic,0.7597089823383116,0.8138287671597184,0.8231576609031275
Carbonic,0.7704636304376018,0.7745637097354419,0.7606648352996741
Vanilloid,0.3959228088510167,0.4454597869573791,0.47102057342575665
Vanilloid,0.4351014789927411,0.5009272851797366,0.5142332494032664
Vanilloid,0.4655580159104872,0.5223404869122186,0.5294085287922272
Vanilloid,0.4947110407422485,0.5120329655337541,0.5220391064273484
Vanilloid,0.41560848555031094,0.4150249453359618,0.4457001396053488
JAK2,0.5818227207346472,0.6821062271548733,0.6698293199376629
JAK2,0.6440896212823977,0.7282011948140554,0.6976523772783907
JAK2,0.6183882563794058,0.7273488081950268,0.7066953387826622
JAK2,0.625303408161231,0.718739323919916,0.6998615248042288
JAK2,0.5896079282442787,0.6912945970941333,0.6784862580874118
Acetylcholinesterase,0.6245714958552616,0.7086854842051503,0.7190129854898684
Acetylcholinesterase,0.6415164793707977,0.7452689332876652,0.7479538390578451
Acetylcholinesterase,0.5972364370137215,0.6880757600615519,0.6788854008014557
Acetylcholinesterase,0.6194326779621544,0.7272040307274832,0.7150662270591022
Acetylcholinesterase,0.5695514400154864,0.6768293080074629,0.6833121395137738
Coagulation,0.4906532228129107,0.5815084050827628,0.5889633295339498
Coagulation,0.5231252588478739,0.5851464760856568,0.5959035402544461
Coagulation,0.5152180020585768,0.604178394688478,0.5979832851615859
Coagulation,0.5155468215621855,0.6083698721487132,0.6173402450379254
Coagulation,0.5145361410311529,0.5770832020111688,0.6121544777283774
Glycogen,0.5223168123876287,0.6141592156813526,0.6257530073228996
Glycogen,0.5423968327041093,0.6336302308549555,0.6206467362676823
Glycogen,0.5137673794997477,0.6042074245501958,0.5978632860284934
Glycogen,0.5224688736371358,0.6136766380259095,0.6054440031209941
Glycogen,0.5246803662804052,0.6333067787097992,0.6208552812476558
erbB1,0.6847731625056823,0.7352694995803819,0.7239810333510199
erbB1,0.6923454415726276,0.7431419843636256,0.7460492149080418
erbB1,0.6714545523970055,0.7286733329794831,0.7206859846667367
erbB1,0.6609167479098765,0.7376980975569704,0.726351523125975
erbB1,0.6793167469536305,0.7452603833061759,0.7338824042570522
Ephrin,0.5075717489527678,0.5659642117632288,0.5747934026425192
Ephrin,0.538414945577443,0.6119134679309736,0.6314778211516925
Ephrin,0.4896635990977243,0.576288100004746,0.5758193143039515
Ephrin,0.5495035433261454,0.6351943977239154,0.6381525556172813
Ephrin,0.5110790400424725,0.5973424207012648,0.662232211958926
ABL1,0.5833866177532854,0.6354481093661156,0.6302797340092766
ABL1,0.5262033691697083,0.6108075828608465,0.5804546110874322
ABL1,0.5862694062964835,0.6663467009276715,0.6468283619143198
ABL1,0.5697872164009741,0.653928797202731,0.6560863779604167
ABL1,0.6042799286850122,0.6861282919295039,0.6826790698948747
Monoamine,0.5306203742570587,0.6183591292684419,0.6348886021196483
Monoamine,0.48385621521520616,0.5503326656877416,0.5413897193057364
Monoamine,0.5185370834879266,0.6136673547348594,0.5867843707880318
Monoamine,0.5490992843071167,0.6757538520827551,0.6747233542602805
Monoamine,0.5134851726959754,0.5803082519043686,0.5834305310846992
LCK,0.5728753434517576,0.5726295540556138,0.6130806769693196
LCK,0.5426599697333068,0.6219020225353926,0.6123363743050598
LCK,0.5977321740046205,0.672255573474127,0.6756597161538758
LCK,0.5167525121965894,0.5395426656105531,0.5527784644567939
LCK,0.578190600756741,0.6479921717057104,0.6607028541525459
Estrogen,0.6972144437317416,0.746352370935535,0.7626285938235297
Estrogen,0.7139663123177397,0.7530480743201141,0.7450847879896786
Estrogen,0.7445090621396246,0.784480979002979,0.798329441341135
Estrogen,0.7285158975586037,0.7772758166642032,0.7807537988811749
Estrogen,0.7069072343736463,0.7552603159840544,0.7672128361793175
B-raf,0.7453249276050489,0.7889511323965466,0.8129347966490639
B-raf,0.717537172821811,0.7833077213201465,0.7635632970023503
B-raf,0.7685135764497281,0.8016362664170767,0.8043401278829649
B-raf,0.7090759790165604,0.7512903182086758,0.7467350284721925
B-raf,0.7253989116441217,0.7704079685777339,0.7702707473061581
Cannabinoid,0.6219500112503029,0.6752650719909874,0.6768794869431622
Cannabinoid,0.6110214583074195,0.650769362697343,0.6753855817670948
Cannabinoid,0.574057890973042,0.6474389730734339,0.6336938270802568
