dataset,map4,morgan,ap
Dopamine,0.29765443545010895,0.5439063798804442,0.5131503986113055
Dopamine,0.5159789269374991,0.650189629306035,0.6019117000834948
Dopamine,0.48922810682012763,0.5455274633110565,0.49307907408526175
Dopamine,0.5092727123822667,0.6163787766974412,0.6117450822030673
Dopamine,0.38405277446101993,0.3575936777169161,0.45416874461023715
LCK,0.5039563431251147,0.613185583508346,0.6143167821390163
LCK,0.5461318245399804,0.5287045720526957,0.5897019211651651
LCK,0.5121379154436938,0.5372721841452781,0.6009700257106027
LCK,0.4770052443365683,0.5658930546265694,0.5717237505351456
LCK,0.5909203762251091,0.6215041229038291,0.6620184999716903
JAK2,0.6291291502570093,0.6940497104709749,0.6742188596303359
JAK2,0.6158344391660882,0.7048349623997109,0.683324891201185
JAK2,0.578261712319927,0.6696407377848397,0.6368261499956822
JAK2,0.5719637742241159,0.661491850327782,0.6774827073574775
JAK2,0.5854693224831793,0.6614789121514892,0.6414379479371044
Acetylcholinesterase,0.6134276889137448,0.7088636464987955,0.6687436039970522
Acetylcholinesterase,0.6513925793012956,0.7243960413905417,0.714779624930955
Acetylcholinesterase,0.6389753697425294,0.6899405002447634,0.7380494973293671
Acetylcholinesterase,0.5832439619442523,0.6604310731759725,0.6878812307550335
Acetylcholinesterase,0.6163752208699403,0.6902210191619502,0.6929530562593061
Glycogen,0.5540501346616569,0.6063766535266437,0.6438098533495009
Glycogen,0.5286860654216149,0.5994723131260522,0.5734848866480627
Glycogen,0.5373863939246515,0.5819388075027059,0.596912019522154
Glycogen,0.5427003776956978,0.6010750274245096,0.62365080791094
Glycogen,0.4776008026097389,0.5539082628418064,0.5519930004178837
Glucocorticoid,0.5963979370691169,0.5754976266190173,0.6059751125281256
Glucocorticoid,0.4916844005558565,0.6069377229775064,0.6160585690555395
Glucocorticoid,0.6020353822381266,0.6503212594214115,0.6775659637493223
Glucocorticoid,0.4814017740987745,0.6428437953397788,0.6578857785142003
Glucocorticoid,0.5557592026597363,0.6100430863129676,0.6254336896763377
A2a,0.5018677809581953,0.7828789308298538,0.6199739642209774
A2a,0.6067402208648262,0.5724871463634852,0.6728900618042635
A2a,0.52169516157042,0.3458263212910083,0.43961283807640716
A2a,0.4768677793439565,0.562656014881983,0.6970862578712858
A2a,0.20434108241951665,0.48780126148969616,0.3535927993553726
COX-1,0.2663334503553476,0.3095826299123572,0.31786220465241444
COX-1,0.3521015782707948,0.37336353765789076,0.36184328772242946
COX-1,0.3186056366329646,0.4013473648977205,0.38320604380954804
COX-1,0.33863821507033953,0.40742107731297705,0.405266576521897
COX-1,0.24353790426205912,0.3550698373472386,0.3118307123928401
Dihydrofolate,0.5223851533928103,0.478831560024206,0.43540431597468576
Dihydrofolate,0.5219931958538124,0.565843454060254,0.501695990910262
Dihydrofolate,0.47362112629526065,0.5040063947349429,0.4670215132162303
Dihydrofolate,0.47339006418382124,0.6301063824861733,0.5507685615740234
Dihydrofolate,0.48117978366406466,0.24519438055062337,0.44425329060919294
Monoamine,0.4361753262533652,0.5935238189273714,0.5941364002852101
Monoamine,0.5081010112893223,0.6266798854828496,0.563008432602454
Monoamine,0.5395336841874153,0.6157191912172251,0.5892659153657407
Monoamine,0.5057804827354724,0.5962851832191767,0.6066123286695899
Monoamine,0.5453007436946122,0.6207882082802766,0.6090055542927217
ABL1,0.5945540579491836,0.5996603732700767,0.6059503225829603
ABL1,0.5728215315315548,0.5941524613521825,0.605377084864595
ABL1,0.5634359144270549,0.5413112497697073,0.6103101880510704
ABL1,0.521937091756973,0.5763772256125563,0.5665647022327487
ABL1,0.5775049846100884,0.5863590530666042,0.6645258364047865
erbB1,0.6407019480176073,0.6778596980636304,0.6957028524521083
erbB1,0.6927988262681254,0.7270055418026987,0.7379000106902383
erbB1,0.7008199469866657,0.6998923333039454,0.6900934155401852
erbB1,0.6751082795250244,0.699552971104342,0.6914969016155388
erbB1,0.6445216464892944,0.7074960135415894,0.6902183290706466
Cannabinoid,0.6243335383075612,0.6550668199876855,0.6624839572206239
Cannabinoid,0.5311599214830163,0.6200464429502834,0.5806583325731165
Cannabinoid,0.6045284260699222,0.6214297318651418,0.609519116648553
Cannabinoid,0.5760205951330808,0.6288286007530466,0.6712567649809362
Cannabinoid,0.6326292545036531,0.6908101259257688,0.7047528776460458
Carbonic,0.7140173529175533,0.7429144708908777,0.7597864743320224
Carbonic,0.7337881686794221,0.7949294344977181,0.7796904467591164
Carbonic,0.7495735585715004,0.744352509571196,0.7066203086135285
Carbonic,0.7462601415228916,0.7588322479171378,0.7943742847500245
Carbonic,0.7341259490919946,0.7407362009115039,0.8242547607614217
Aurora-A,0.5845963770103948,0.6358782037423546,0.6548025432737168
Aurora-A,0.5509782959418803,0.6412042727209825,0.6089676769433185
Aurora-A,0.6124833816804306,0.6760278051043398,0.6982230862017562
Aurora-A,0.6265528540840402,0.6738885095567577,0.6862516804601902
Aurora-A,0.645628899703502,0.6633054214560681,0.6817834861589812
Vanilloid,0.42722002512217483,0.4735765851141819,0.47746917841597214
Vanilloid,0.40059987026743726,0.41241553197904957,0.4535260464141706
Vanilloid,0.36632488357324644,0.4328094282338564,0.43663583582325594
Vanilloid,0.4277459033254063,0.45138750261609684,0.4338493448074737
Vanilloid,0.33445707691339055,0.4282410734259525,0.3963540752360152
Coagulation,0.5248409174389648,0.6377424310012433,0.6143388649393817
Coagulation,0.48697602105807614,0.5812465240910164,0.5964679669602282
Coagulation,0.5131646551075641,0.6198279996541268,0.6076098976236639
Coagulation,0.4970569407587494,0.5511022325983767,0.5518666228889693
Coagulation,0.4980861862250606,0.5907868534670077,0.5323050416579592
COX-2,0.5114096034252253,0.5824106195036658,0.5836058563959312
COX-2,0.4933272884281068,0.5275123064443019,0.5714124531759339
COX-2,0.5131212816240514,0.5384417743084615,0.5703719402106868
COX-2,0.5313532888824056,0.5824649395100046,0.6199287002813961
COX-2,0.5146384515009661,0.5479145372689587,0.5546309481016183
Ephrin,0.482756944277807,0.6004801218154329,0.5866100394111305
Ephrin,0.4985764517985568,0.5817397209093138,0.610292793168773
Ephrin,0.49313155815646503,0.569323349771151,0.5769640060453565
Ephrin,0.5249398741364956,0.6118895325755338,0.5826830484503738
Ephrin,0.4675181125736074,0.5940056348742992,0.605550382394297
Estrogen,0.7077750478896088,0.7356090195804,0.7512931374224407
Estrogen,0.6713944112234475,0.7418585354483065,0.7365452573336811
Estrogen,0.662840609855091,0.7359005229063538,0.760982690806624
Estrogen,0.6567863310255174,0.6913585695473652,0.6905370593767816
Estrogen,0.7074872827013705,0.7599041678426067,0.7692882183521412
Caspase,0.732764163963196,0.8148740902545955,0.8098315368018687
Caspase,0.7736540591902402,0.7878894519979639,0.7512547882122054
Caspase,0.7785332227832206,0.8409477861481097,0.8413732032358014
Caspase,0.7797727674841034,0.8124445596951309,0.8068558641043718
Caspase,0.815212838401819,0.8633424517471697,0.8182187130254968
HERG,0.4834516968274205,0.5518365290688715,0.6041989667933212
HERG,0.4889798234843248,0.5724490896599155,0.6067917566311948
HERG,0.49898465645326184,0.5559579776437436,0.5821424882817317
HERG,0.5281889102896915,0.5824493460413245,0.6181703221960555
HERG,0.4483045332973222,0.5364038309238179,0.5634650149924039
B-raf,0.6674802682348124,0.7081911531311136,0.7255003029276315
B-raf,0.7218977058795202,0.7572529148115199,0.7685335468121421
B-raf,0.6909749031742103,0.763635991170893,0.731050233768842
B-raf,0.6855938530120745,0.7446977547299733,0.739179601720383
B-raf,0.6679720978111947,0.7364436328672126,0.7438290511143888
opioid,0.6801988632705793,0.6179142279482741,0.6543492557398353
opioid,0.6031889990196526,0.6169528433076601,0.6029875041098368
opioid,0.6361213024288026,0.6636978246443881,0.6536491261708433
opioid,0.564591998636526,0.6310121643760643,0.6952109044643859
opioid,0.6552660144275849,0.6995508646674539,0.6723843130877143
