dataset,map4,morgan,ap
COX-2,0.518111927960847,0.6117030056102374,0.5945342687351909
COX-2,0.5547099500685235,0.6085766021127899,0.6027231509248878
COX-2,0.5300698381113641,0.5906773097036111,0.5976402977752566
COX-2,0.5263123594525025,0.575727746089739,0.5840487910637779
COX-2,0.5707022231778889,0.6286124097892694,0.6470000429962446
Glucocorticoid,0.6024766658394192,0.6644048402751042,0.6798341364812928
Glucocorticoid,0.5893939848312232,0.6601096006449927,0.6739852958890509
Glucocorticoid,0.5975664592167138,0.6733446976862075,0.6468710239871283
Glucocorticoid,0.6036149372778243,0.6680730513739643,0.6720524288098639
Glucocorticoid,0.5963715970239414,0.6545663455705555,0.6658252703644363
opioid,0.6072563275808783,0.7061968262458347,0.6950422494391655
opioid,0.6898964083018315,0.7222061216437531,0.7327144844765245
opioid,0.6927950767555661,0.7322307714357651,0.7222295110817887
opioid,0.6731448212885789,0.7401637549857077,0.7073453951890043
opioid,0.6622651517337169,0.7082207772177698,0.7168826608115617
COX-1,0.2937404747275595,0.36640311167922346,0.4088879759142604
COX-1,0.3025731461072231,0.37480576538467925,0.39383481163149037
COX-1,0.2855473324413502,0.35197651914571526,0.3763816911439033
COX-1,0.2926444119302015,0.3559411550094157,0.4028397741835653
COX-1,0.3169852408058035,0.36895302149439757,0.39137188213713525
Carbonic,0.8034427891929867,0.8031301024983653,0.8075817494448103
Carbonic,0.7513444430977254,0.7541441158290763,0.7635728194510445
Carbonic,0.7493402869412544,0.7812423788131311,0.7658651454917971
Carbonic,0.7845274702883466,0.7910531820898328,0.8232549318316162
Carbonic,0.7784353477120529,0.8087988638764215,0.797423030051061
Vanilloid,0.45937079906475853,0.47025953690886,0.4917817791461957
Vanilloid,0.48600261548592283,0.5316303654067518,0.5571336503544322
Vanilloid,0.4097541860581623,0.45877378392810797,0.4372328223394403
Vanilloid,0.4738232738497019,0.5350366620103599,0.5555113192138166
Vanilloid,0.4868384672631596,0.5164682203239714,0.522186949364847
JAK2,0.6039432089807026,0.7256267824589416,0.7057740709779462
JAK2,0.6356693771568152,0.7549812275422103,0.717988070035853
JAK2,0.5864928666365934,0.6981665328767043,0.6659201441266203
JAK2,0.6127525034650867,0.700938165024953,0.6834951185931505
JAK2,0.5981932792361015,0.707140503053536,0.6703034411492199
Acetylcholinesterase,0.6024820184083137,0.718604488484426,0.7102311356141753
Acetylcholinesterase,0.5944613292667658,0.6952611796346533,0.6957693592908043
Acetylcholinesterase,0.6111648565281845,0.708480859569125,0.7323657313514096
Acetylcholinesterase,0.6166710547927549,0.7212455301623962,0.7390655591538948
Acetylcholinesterase,0.607891906621094,0.7020843177277099,0.7010985081827614
Coagulation,0.5311059152314059,0.5958470249992396,0.5864042575588362
Coagulation,0.560237503462302,0.6306518604998388,0.6400742116588023
Coagulation,0.5183373352791865,0.581065947349816,0.5785065365260628
Coagulation,0.5356960307749361,0.5867546308954545,0.5859229988490925
Coagulation,0.4947803547195634,0.5626288744470852,0.584979506002931
Glycogen,0.5607540212296311,0.6609966746890816,0.639026751046999
Glycogen,0.5239352253064692,0.6188860009491837,0.5873051665267839
Glycogen,0.5325585128256725,0.5879653987038651,0.5965313088228379
Glycogen,0.5237561747170789,0.6305376710771131,0.6102459137524152
Glycogen,0.5204926030161696,0.6163841533192373,0.6267798898106677
erbB1,0.6734811315906108,0.7268544945947069,0.7251667252903679
erbB1,0.6673953620057012,0.7276881694905539,0.7139282971291799
erbB1,0.692294456941136,0.7372976879605722,0.7314332360910387
erbB1,0.6676774395170262,0.7279016043132065,0.7140383480076065
erbB1,0.6809188338307702,0.7345994760514688,0.734745004957742
Ephrin,0.4935066458228723,0.5703334545636849,0.6190223282510856
Ephrin,0.4943931220154957,0.5644457014194119,0.5810255056224569
Ephrin,0.57778611843193,0.6390860262918474,0.6353966253244938
Ephrin,0.5265747543063635,0.6225098215650837,0.6245532472615196
Ephrin,0.5331241953978284,0.5981871185507899,0.5927380669932092
ABL1,0.5303719292583333,0.6288839388873788,0.6178852106571155
ABL1,0.5579006912795673,0.6366015351854999,0.6625196635944437
ABL1,0.6069558150311689,0.6469915424092236,0.6819901279026414
ABL1,0.5897305855641319,0.6730940324009208,0.7115767182298189
ABL1,0.5930925437056968,0.6405894395721,0.6666886277406968
Monoamine,0.4708931594735556,0.5578235457101826,0.5399549462732994
Monoamine,0.5164735537033132,0.5725579426126048,0.593973679228738
Monoamine,0.5104909850454684,0.605051534724903,0.641408150563576
Monoamine,0.5616701612129222,0.6335326037246829,0.6635053640163411
Monoamine,0.5348663897321438,0.6052799807711997,0.587790037939447
LCK,0.5805179134188072,0.6237247269376669,0.6397103458580318
LCK,0.5799629432115039,0.6244994495456132,0.6234124008998205
LCK,0.5729404482697583,0.6282125401293126,0.6281626193768293
LCK,0.5814745416380975,0.627666852360538,0.6428009701610875
LCK,0.5345170791981397,0.5841114170553003,0.5850612414849803
Estrogen,0.7135707208558841,0.787034678786114,0.782435280883464
Estrogen,0.7007229173435927,0.7552328889109317,0.7694940047846837
Estrogen,0.736529110182679,0.7674738746864453,0.7907905335277152
Estrogen,0.7130261443471644,0.7684520347154176,0.7813267004967653
Estrogen,0.6687784645553293,0.7441205786712065,0.7535606741110348
B-raf,0.7470882054014467,0.7986574141783183,0.7943377234736573
B-raf,0.712143760861231,0.7388816580338123,0.7405185820668359
B-raf,0.7021648220666963,0.7676416741666211,0.7762071951622564
B-raf,0.7325884870898453,0.7668940573927773,0.7893804124298277
B-raf,0.7250874448396707,0.761901252984102,0.7876849336582479
Cannabinoid,0.6161627350468846,0.6900577788650251,0.701372647185605
Cannabinoid,0.634972858257525,0.7008900878222355,0.7059034831595294
Cannabinoid,0.6434143801414463,0.7204787740202232,0.7127026941113126
Cannabinoid,0.6431991495739147,0.7063731156793382,0.7237694907677935
Cannabinoid,0.5915979773462294,0.6695565394525845,0.6624313117459051
Aurora-A,0.6163008729292265,0.6835013026417296,0.6921562024919292
Aurora-A,0.6369741081160747,0.6963991748586188,0.6986302306221357
Aurora-A,0.5963061278772819,0.6343967233153796,0.6305415693664647
Aurora-A,0.6277004349228366,0.6889856986879719,0.6882600227953425
Aurora-A,0.640305430556116,0.6849083057012302,0.686562891115721
A2a,0.6416606065977744,0.7490174267373744,0.6862121034910695
A2a,0.6894914461311573,0.6919257867248856,0.7666982318304268
A2a,0.7047275260990853,0.7546692511002565,0.763725005761551
A2a,0.6424702795307078,0.6729936823077053,0.6659948809925876
A2a,0.5361637391185647,0.5856035977340031,0.6173427453240223
HERG,0.46178870221069646,0.5641281903145011,0.591290544104074
HERG,0.48336681549308247,0.56506643116728,0.5854414029710993
HERG,0.4611493034055496,0.5523019401565106,0.5626277612216484
HERG,0.4611782156072066,0.5859984832959415,0.595542074682327
HERG,0.4683505704327906,0.5951473002723984,0.6213565302549231
Caspase,0.8161746687632807,0.8539634247069187,0.8564138945811355
