dataset,map4,morgan,ap
COX-2,0.4789548719729928,0.5218774354449012,0.5380918144405245
COX-2,0.4987178295499485,0.5621267952442947,0.6007553146643791
COX-2,0.46064773614690424,0.5393242196593914,0.5535054345887562
COX-2,0.4469556877274886,0.5161773895376771,0.5228857680369715
COX-2,0.47509148716031246,0.5645730349776441,0.559498107052979
Glucocorticoid,0.5493537954322989,0.6467667904236498,0.6749577332791217
Glucocorticoid,0.5218250735460958,0.6056648626957851,0.6206711298112306
Glucocorticoid,0.5608097286671831,0.6920801365933451,0.6807638094870565
Glucocorticoid,0.5725446944911002,0.6662544400209589,0.6956100004606165
Glucocorticoid,0.5673633511481814,0.6316460159515307,0.6389974978303385
opioid,0.6109885797322299,0.6909928163358328,0.6941853053543088
opioid,0.6012960631107989,0.668598523201863,0.6429949726956417
opioid,0.5759032023867837,0.6409813126667525,0.6461742659356776
opioid,0.6223386998584597,0.662422215950847,0.6343152776203103
opioid,0.6144926974948572,0.673283615650403,0.6736188214057663
COX-1,0.28703732429004014,0.32447071818141415,0.35276995188938653
COX-1,0.2403289084746436,0.3244139905420571,0.34013251473622974
COX-1,0.25592465358672023,0.2999788494307063,0.30037311060721583
COX-1,0.3222754659811836,0.42060075771675354,0.43294239588459293
COX-1,0.2964698072116393,0.3789975502098727,0.38795023429606945
Carbonic,0.6992882206100457,0.7728294395687781,0.7381109053501484
Carbonic,0.6964226016311004,0.7613740634187748,0.7600188564483469
Carbonic,0.7095662118180355,0.7482734334313317,0.7718773822987454
Carbonic,0.7102723322937443,0.802988232369632,0.8213882949593119
Carbonic,0.7742229124529589,0.8397504555043884,0.8598884596188037
Vanilloid,0.40374500171404193,0.46361366797980674,0.4787497000956553
Vanilloid,0.4230604907004648,0.4881477646573069,0.5214182555351861
Vanilloid,0.385667565232941,0.45287089827312765,0.4865517673385622
Vanilloid,0.3912193751963987,0.46839359404145653,0.4730905091635974
Vanilloid,0.39825246727860575,0.4528745676725049,0.5017208439682894
JAK2,0.5568100737928257,0.6773598680169214,0.6561326877400067
JAK2,0.5887483236252615,0.6807736283600597,0.6772841397857147
JAK2,0.5231142184585549,0.6599488629211363,0.6576126050298795
JAK2,0.5634496991929889,0.7048615085410302,0.6781092183751041
JAK2,0.5894381044181896,0.6961365387063514,0.7053564609415395
Acetylcholinesterase,0.5638896148411459,0.663519678961114,0.6940882051035552
Acetylcholinesterase,0.6199744303093994,0.7013011221095606,0.7039941081729658
Acetylcholinesterase,0.6032253221552535,0.6986969326396191,0.7308469779944206
Acetylcholinesterase,0.5497169464109077,0.6522606947640073,0.6688495230259013
Acetylcholinesterase,0.5732436714351867,0.6778676248143298,0.6807402153707208
Coagulation,0.5190463002140525,0.593766706421442,0.5962026436397322
Coagulation,0.5290420885318796,0.604779676925534,0.6014715841844395
Coagulation,0.4893041416693741,0.5963083699536316,0.5842855641519964
Coagulation,0.5044512001417489,0.5847690133642733,0.6122073327288446
Coagulation,0.47952830539768,0.5694879380560087,0.5810884037198162
Glycogen,0.47069450497201293,0.5988136084144722,0.5964874475123496
Glycogen,0.5024736990388294,0.5802819901049754,0.5924499603840365
Glycogen,0.49878928055629856,0.6252815665089144,0.6379396221302736
Glycogen,0.4692249606378882,0.5818627235643957,0.5772825837200162
Glycogen,0.5108045089837548,0.5957098783761675,0.636062603268682
erbB1,0.640774835208439,0.712042554072442,0.7070052910768503
erbB1,0.6125546812596829,0.7043897373975454,0.6872129127952342
erbB1,0.6484290128663519,0.71969001702845,0.7214181291510339
erbB1,0.6461478798955103,0.7231083467270072,0.7065787098995151
erbB1,0.6176724197981923,0.7045834404577556,0.6963210710474363
Ephrin,0.440468922153465,0.5507146372850084,0.5595072361483058
Ephrin,0.4628037118075826,0.5799679363375015,0.5769021499715358
Ephrin,0.49444142703129923,0.6048838285342918,0.6198323103286018
Ephrin,0.50255290943531,0.5914933047997537,0.6194459938839394
Ephrin,0.4621330645956476,0.5695220478066523,0.5846786553126588
ABL1,0.5413357803792783,0.6044554803460231,0.6118935863735011
ABL1,0.47449282443822716,0.5986310343662025,0.6043116736305861
ABL1,0.5074784599841646,0.5875999543469403,0.5962745228973311
ABL1,0.5264882221225848,0.5626660672262159,0.6156434566628086
ABL1,0.4801790954961789,0.6141662787955049,0.5981246911735254
Monoamine,0.503322233821845,0.5951035087653237,0.592594591976656
Monoamine,0.5344626322262194,0.6443324633364855,0.6450158384035775
Monoamine,0.5141669461608795,0.6172388512059351,0.6037449925421905
Monoamine,0.5522184294544852,0.5873513711978302,0.6257862159827103
Monoamine,0.5031059332279959,0.608566606803645,0.6179229380114617
LCK,0.47493986217714146,0.5915721000292316,0.5745107426608762
LCK,0.5380870658416117,0.6113063379413821,0.606292189215284
LCK,0.5410914537107898,0.5988404124877453,0.635012305218289
LCK,0.5265779924982935,0.5992550064535633,0.5858316663069731
LCK,0.5426766977408883,0.6325653941655942,0.622871988959103
Estrogen,0.6274470148445985,0.7395699985357522,0.7427437829438521
Estrogen,0.6131285295528262,0.7230996831819536,0.7403636637558784
Estrogen,0.6929804291954277,0.7752522108984915,0.7944743162352833
Estrogen,0.6494501091432785,0.7549832611305256,0.7627359068123664
